Title,cluster,action_cluster,sentiment_score
출고 그냥 던져 두었던 사용 설명서를 소설 읽듯 정독 한번 했습니다 궁굼 했던 사용 설명서 읽어보시분들 한번 보세요 좋내요 보다보니 심지어 다이 할수 있도록,0,1,2.0
보통은 종이 설명서 쓰실테고 화일로 받아서 모니터에서 보고 싶을때 저는 차로 원하는 설명서를 찾아서 열면 요렇게 뜹니다 퍼스트 건담 설명서에요 클릭하면,0,1,0.5
있는데 혹시나 찾으실수 있는분 도움 바랍니다 첨부파일 메빌 풀크봉 건담 설명서 파일 다운로드 아래 첨부파일 메빌 풀콩 설명서 파일 다운로드,0,1,1.0
전세양타 처음 계약진행했는데 확인설명서 뒷장은 도장을 찍었는데 확인설명서 두번째장에 설명하였음 하는 부분에 도장을 안찍었어요 임차인분 전세자금대출,0,1,0.0
차량을 년만에 구입하려 하는거라 궁금해서 그러는대요 사면 책자로 차량취급설명서 주나요 차량 받으신분 답변점 주시면 고맙겠습니다,0,1,1.5
전체적인 사용설명서 말고 인포테인먼트 시스템 설명서 요약본은 따로 없을까요,0,1,-1.0
페리 계약자입니다 취급설명서를 미리 보고싶은데 기아사이트에서 아직 제공하지 않는듯 보입니다 올려주시면 좋을듯,0,1,2.0
제대로 붙여졌는지 모르겠습니다 스티커 부착 설명서 보니 기회는 한번뿐 이라고 써져있어서 진땀빼면서 붙였습니다 리어쪽에 물방울땀입니다 하아무튼,0,1,1.0
제조사에서 공급하는 사용자설명서 같은게 보통 있나요 그런 사용자설명서에는 운전 설치 시운전 소모품 유지보수같은 펌프의 사용자설명서와 같은 것이 되겠네요,0,1,0.0
아래는 양산형 바우 설명서에 나온 컬러 안내 입니다 본체는 아래와같이 조합 하던가 설명서 에서 말하는 건담컬러는 어떤걸 의미하나요 아님 반다이나 다른데서,0,1,-2.0
설명서 읽는 습관이 있어서 아오 빼고는 차살때마다 읽어본거 같은데 폭스바겐도 당연히 한글로 번역해 놓은 자동차 설명서가 존재하겠죠 설명서 숙지 하고 타야 그나마,0,1,0.0
아무리 찾아도 없네요 신형 사용자 설명서는 많은데 구형은 정말 안보이네요 혹시 마스터 구형 사용자 설명서 가지고 계시거나 링크 아시는분 계신가요,0,1,0.5
소장을 증거설명서라는걸 반드시 작성해야하나요 직접 법원에 제출할거구요 증거 용지 번호별로 종이 여러장이면 스테이플러로 박아도 되나요소장도 스테이플러,0,1,0.0
확인설명서쪽에 현장안내자란에 개공소공중개보조원해당없음이 있는데 해당없음은 어느경우일까요 부칙상 개공은 아닌거 같고 안내를 개공소공중개보조원이,0,1,-1.3333333333333333
이번에 이사를 하면서 케이스나 보증서는 있는데 종이로 설명서 매장이나 본사같은데 문의하면 해당 제품에 맞는 설명서 재발급같은거 해주나요,0,1,0.0
이제 한달안된 오너입니다 궁금한게있는데 주행중에 액티브 차선이탈방지 어시스트기능제한됨 사용설명서참조 요런게 나올때가있는데 왜그런걸까요,0,1,0.0
